nome_posto,combustivel,endereco,bairro,data_coleta,valor
"Posto Shell",Etanol,"Rod. laranjeiras","Civit II",2026-03-18,5.09
"Posto Shell",Etanol,"Rod. laranjeiras","Civit II",2026-03-25,5.09
"Posto Shell",Gasolina,"Rod. laranjeiras","Civit II",2026-03-02,6.09
"Posto Shell",Gasolina,"Rod. laranjeiras","Civit II",2026-03-04,6.19
"Posto Shell",Gasolina,"Rod. laranjeiras","Civit II",2026-03-07,6.19
"Posto Shell",Gasolina,"Rod. laranjeiras","Civit II",2026-03-13,6.58
"Posto Shell",Gasolina,"Rod. laranjeiras","Civit II",2026-03-18,6.89
"Posto Shell",Gasolina,"Rod. laranjeiras","Civit II",2026-03-25,6.69
"Posto Shell","Gasolina Aditivada","Rod. laranjeiras","Civit II",2026-03-02,6.59
"Posto Shell","Gasolina Aditivada","Rod. laranjeiras","Civit II",2026-03-04,6.69
"Posto Shell","Gasolina Aditivada","Rod. laranjeiras","Civit II",2026-03-07,6.69
"Posto Shell","Gasolina Aditivada","Rod. laranjeiras","Civit II",2026-03-13,7.08
"Posto Shell","Gasolina Aditivada","Rod. laranjeiras","Civit II",2026-03-18,7.39
"Posto Shell","Gasolina Aditivada","Rod. laranjeiras","Civit II",2026-03-25,7.09
"Rede Marcela - Posto Central",Diesel,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-02,5.99
"Rede Marcela - Posto Central",Diesel,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-04,5.99
"Rede Marcela - Posto Central",Diesel,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-07,5.99
"Rede Marcela - Posto Central",Diesel,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-13,6.39
"Rede Marcela - Posto Central",Diesel,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-18,6.79
"Rede Marcela - Posto Central",Diesel,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-25,6.79
"Rede Marcela - Posto Central",Etanol,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-02,4.69
"Rede Marcela - Posto Central",Etanol,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-04,4.69
"Rede Marcela - Posto Central",Etanol,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-07,4.69
"Rede Marcela - Posto Central",Etanol,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-13,4.99
"Rede Marcela - Posto Central",Etanol,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-18,4.99
"Rede Marcela - Posto Central",Etanol,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-25,4.99
"Rede Marcela - Posto Central",Gasolina,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-02,6.09
"Rede Marcela - Posto Central",Gasolina,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-04,6.09
"Rede Marcela - Posto Central",Gasolina,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-07,6.09
"Rede Marcela - Posto Central",Gasolina,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-13,6.59
"Rede Marcela - Posto Central",Gasolina,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-18,6.59
"Rede Marcela - Posto Central",Gasolina,"Av. Civit, 2100","Colina de Laranjeiras",2026-03-25,6.59
"Rede Marcela - Posto Central","Gasolina Aditivada","Av. Civit, 2100","Colina de Laranjeiras",2026-03-02,6.29
